run,returncode,sync_producer_time_ms,sync_end_to_end_time_ms,sync_attempted,sync_logged,sync_dropped,sync_dropped_denominator,sync_dropped_pct,sync_producer_lines_sec,sync_end_to_end_lines_sec,sync_checksum,async_producer_time_ms,async_end_to_end_time_ms,async_attempted,async_logged,async_dropped,async_dropped_denominator,async_dropped_pct,async_producer_lines_sec,async_end_to_end_lines_sec,async_checksum,sync_valid_sum,sync_valid_expected,async_valid_sum,async_valid_expected,spd_producer_time_ms,spd_end_to_end_time_ms,spd_attempted,spd_logged,spd_dropped,spd_dropped_denominator,spd_dropped_pct,spd_producer_lines_sec,spd_end_to_end_lines_sec,spd_checksum,spd_valid_sum,spd_valid_expected
20,0,943.83,943.83,400000,400000,0,400000,0.0,423806.0,423806.0,0x9c203f5b85d1ed12,75.66,75.82,400000,400000,0,400000,0.0,5286771.0,5275583.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,252.51,253.38,400000,96458,303542,400000,75.9,1584072.0,1578647.0,0x9c203f5b85d1ed12,400000,400000
21,0,956.08,956.08,400000,400000,0,400000,0.0,418376.0,418376.0,0x9c203f5b85d1ed12,74.2,74.41,400000,400000,0,400000,0.0,5391072.0,5375441.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,266.67,267.61,400000,98330,301670,400000,75.4,1499975.0,1494697.0,0x9c203f5b85d1ed12,400000,400000
22,0,939.95,939.95,400000,400000,0,400000,0.0,425554.0,425554.0,0x9c203f5b85d1ed12,73.02,73.25,400000,380306,19694,400000,4.9,5478194.0,5460946.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,252.22,252.61,400000,103500,296500,400000,74.1,1585919.0,1583463.0,0x9c203f5b85d1ed12,400000,400000
23,0,945.79,945.79,400000,400000,0,400000,0.0,422928.0,422928.0,0x9c203f5b85d1ed12,73.88,74.19,400000,389825,10175,400000,2.5,5413912.0,5391450.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,264.06,264.44,400000,104678,295322,400000,73.8,1514786.0,1512618.0,0x9c203f5b85d1ed12,400000,400000
24,0,945.99,945.99,400000,400000,0,400000,0.0,422838.0,422838.0,0x9c203f5b85d1ed12,76.37,76.57,400000,400000,0,400000,0.0,5237457.0,5223681.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,252.44,253.56,400000,101647,298353,400000,74.6,1584549.0,1577551.0,0x9c203f5b85d1ed12,400000,400000
25,0,951.61,951.61,400000,400000,0,400000,0.0,420342.0,420342.0,0x9c203f5b85d1ed12,72.43,72.64,400000,384200,15800,400000,4.0,5522480.0,5506637.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,255.02,255.48,400000,102064,297936,400000,74.5,1568477.0,1565672.0,0x9c203f5b85d1ed12,400000,400000
26,0,945.92,945.92,400000,400000,0,400000,0.0,422871.0,422871.0,0x9c203f5b85d1ed12,72.49,72.71,400000,383251,16749,400000,4.2,5518167.0,5501326.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,261.21,262.22,400000,98408,301592,400000,75.4,1531343.0,1525462.0,0x9c203f5b85d1ed12,400000,400000
27,0,947.0,947.0,400000,400000,0,400000,0.0,422386.0,422386.0,0x9c203f5b85d1ed12,75.39,75.61,400000,400000,0,400000,0.0,5305903.0,5290166.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,285.19,285.79,400000,101606,298394,400000,74.6,1402585.0,1399619.0,0x9c203f5b85d1ed12,400000,400000
28,0,1019.58,1019.58,400000,400000,0,400000,0.0,392319.0,392319.0,0x9c203f5b85d1ed12,72.12,72.34,400000,400000,0,400000,0.0,5546007.0,5529424.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,253.34,254.32,400000,97316,302684,400000,75.7,1578886.0,1572828.0,0x9c203f5b85d1ed12,400000,400000
29,0,930.89,930.89,400000,400000,0,400000,0.0,429696.0,429696.0,0x9c203f5b85d1ed12,71.63,71.73,400000,400000,0,400000,0.0,5583958.0,5576421.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,265.25,265.96,400000,114721,285279,400000,71.3,1508007.0,1503991.0,0x9c203f5b85d1ed12,400000,400000
